code,libelle,description_officielle,exemples
arts_culture_medias,Arts, culture et médias,"Favoriser l'accès et la participation à l'art, à la culture et aux médias d'information en offrant des activités artistiques adaptées aux personnes, aux communautés et aux groupes de la population qui rencontrent des obstacles liés à la participation à la vie culturelle et sociale ; en promouvant le développement de la pratique du loisir culturel ; ou en produisant et en diffusant de l'information locale et régionale reflétant la vie politique, sociale, culturelle et économique de la collectivité.","arts visuels, théâtre, musique, chant choral, cinéma, histoire et généalogie, folklore québécois, arts de la scène, journal local, radio communautaire, télévision, médias en ligne"
bien_etre_alimentaire,Bien-être alimentaire,"Œuvrer au bien-être et à la sécurité alimentaire, notamment en offrant des activités, des services ou des biens relatifs à l'alimentation.","repas à domicile, cuisines collectives, banques alimentaires, popotes roulantes, épiceries solidaires, ateliers de cuisine"
defense_droits,Défense des droits,"Promouvoir et défendre les droits et les intérêts de la population en général ou de certains groupes particuliers et favoriser la pleine participation des personnes et l'exercice de leur citoyenneté, notamment en réalisant des activités d'éducation populaire autonome axées sur les droits et la vie démocratique, en menant des activités de mobilisation sociale et de représentation, en offrant de l'assistance et de l'accompagnement aux victimes d'actes criminels ou en offrant des services d'aide juridique ou d'éducation aux droits.","droits de la personne, accès à la santé ou à l'éducation, communauté LGBTQ+, femmes, prestataires de l'aide sociale, locataires, personnes sans emploi, personnes judiciarisées, droits des consommateurs, accès au logement"
developpement_communautaire,Développement communautaire,"Améliorer les conditions de vie ou la vitalité d'un quartier, d'une communauté ou d'un territoire, notamment en favorisant le développement d'un sentiment d'appartenance et la participation active des personnes au développement de leur communauté ou de leur territoire, en favorisant la concertation et la collaboration entre divers acteurs d'une communauté et en améliorant la situation des personnes démunies et en luttant contre la pauvreté et l'exclusion sociale.","entraide et solidarité, maisons de quartier, centres communautaires, tables de concertation, lutte contre la pauvreté, développement local, inclusion sociale"
developpement_enfants_familles,Développement des enfants et des familles,"Favoriser le développement et l'épanouissement des enfants, des jeunes et des familles, notamment en offrant un milieu de vie stimulant ; en offrant des activités et des services qui favorisent le développement des jeunes, des enfants et des familles ou le développement de compétences parentales et de relations familiales harmonieuses ; en offrant du soutien aux familles, aux jeunes, aux enfants et aux parents, entre autres lors de situations difficiles ; ou en offrant des services et du soutien en périnatalité.","haltes-garderies communautaires, aide psychosociale, séparation, services d'accompagnement à la naissance, soutien en allaitement, relevailles, 0-18 ans, parentalité, périnatalité"
education_formation,Éducation et formation,"Éduquer, enseigner et former, notamment en réalisant des activités qui visent à améliorer les compétences de base de la population en général ou de certaines clientèles en particulier ou à lutter contre le décrochage scolaire ; en promouvant la formation des adultes ou l'éducation et l'enseignement supérieur ; ou en réalisant des activités d'éducation populaire qui visent l'implication citoyenne et l'appropriation d'enjeux collectifs.","alphabétisation, francisation, formation ponctuelle ou continue, cuisine, gestion budgétaire, aide aux devoirs, orthopédagogie, formation professionnelle et technique, éducation populaire"
emploi,Emploi,"Favoriser l'insertion sociale et socioprofessionnelle, notamment en offrant des services de préparation à l'emploi, des services d'aide à la recherche ou au maintien en emploi, ou une expérience de travail ou des services qui visent l'insertion socioprofessionnelle de personnes éloignées du marché du travail.","développement d'habiletés sociales, aide à la recherche d'emploi, maintien en emploi, insertion socioprofessionnelle, personnes en situation de handicap physique ou mental, organismes d'insertion"
environnement,Environnement,"Préserver ou protéger l'environnement et favoriser l'émergence d'une société écologique ou écoresponsable, notamment en promouvant ou en défendant la préservation de l'environnement ; en préservant, en aménageant, en entretenant ou en rendant accessible un milieu naturel ; en offrant des services de récupération, de recyclage ou de gestion des matières résiduelles ; en favorisant le développement durable et les pratiques écoresponsables ; ou en menant des activités qui visent la transformation sociale et sociétale nécessaire à la préservation des écosystèmes et des territoires.","milieux naturels, récupération, recyclage, gestion des matières résiduelles, transport collectif, développement durable, écoresponsabilité, écosystèmes"
logement,Logement,"Favoriser l'accès à un logement, notamment en offrant des services ou des biens relatifs à l'habitation, en favorisant la participation sociale ou en réalisant des activités qui visent à favoriser la cohésion et le bien-être des personnes vivant dans des logements sociaux et communautaires.","logement social et communautaire, espaces locatifs, accueil et accompagnement, référencement, gestion de conflits entre locataires, habitation"
sante,Santé,"Favoriser la santé de la population, notamment en offrant des activités ou des services de santé physique ou mentale à la population en général ou à des clientèles particulières ; en offrant du soutien et du répit aux proches de personnes vivant avec des enjeux de santé physique ou mentale ou de personnes en perte d'autonomie ; ou en offrant des soins, des équipements ou des ressources dans le domaine de la santé.","personnes aînées ou en perte d'autonomie, trouble mental, maladie physique, déficience intellectuelle, trouble envahissant du développement, soins aux personnes malades hospitalisées, services de réadaptation, aide à domicile, services médicaux d'urgence, répit aux proches aidants"
soutien_vulnerabilite,Soutien aux personnes en situation de vulnérabilité,"Favoriser le maintien ou l'amélioration des capacités d'agir des personnes présentant des risques de vulnérabilité ou vivant des situations de vulnérabilité, en offrant des activités et des services de prévention, de soutien ou d'accompagnement afin d'éviter les situations de vulnérabilité ou d'en réduire les effets, ou en offrant des activités ou des services de soutien, d'accompagnement et de protection qui visent à aider les personnes vivant des situations de grande vulnérabilité.","isolement social, situation familiale difficile, comportements à risque, traumatismes, personnes en situation de crise, victimes de violence conjugale ou sexuelle, personnes en situation d'itinérance, problèmes de dépendance (alcool, drogues, jeu)"
sports_loisirs_tourisme,Sports, loisirs et tourisme,"Favoriser l'accès aux sports, aux loisirs et au tourisme, notamment en gérant des installations sportives ou de loisirs, en organisant des activités sportives ou culturelles de type amateur, en offrant des ateliers ou des cours dans diverses disciplines ou en exploitant un camp de vacances.","installations sportives, activités sportives ou culturelles amateurs, ateliers, cours, camp de vacances"
autres_missions_sociales,Autres missions sociales,"Toute autre mission sociale ne s'apparentant à aucun des 12 autres domaines. Inclut aussi : favoriser l'intégration des personnes immigrantes et réfugiées ; œuvrer à la solidarité et à la coopération internationale ; prévenir la criminalité et la délinquance ; reconnaître et promouvoir l'action bénévole.","intégration des immigrants et réfugiés, communautés culturelles, coopération internationale, commerce équitable, prévention de la criminalité, justice alternative, bénévolat"
